file,year,var_code
FAM2009ER_full.csv,2009,ER42435
FAM2009ER_full.csv,2009,ER42436
FAM2009ER_full.csv,2009,ER42437
FAM2009ER_full.csv,2009,ER42438
FAM2009ER_full.csv,2009,ER42439
FAM2009ER_full.csv,2009,ER42440
FAM2009ER_full.csv,2009,ER42441
FAM2009ER_full.csv,2009,ER42442
FAM2009ER_full.csv,2009,ER42443
FAM2009ER_full.csv,2009,ER42444
FAM2009ER_full.csv,2009,ER42445
FAM2009ER_full.csv,2009,ER42446
FAM2009ER_full.csv,2009,ER42447
FAM2009ER_full.csv,2009,ER42448
FAM2009ER_full.csv,2009,ER42449
FAM2009ER_full.csv,2009,ER42450
FAM2009ER_full.csv,2009,ER42451
FAM2009ER_full.csv,2009,ER42452
FAM2009ER_full.csv,2009,ER42453
FAM2009ER_full.csv,2009,ER42454
FAM2009ER_full.csv,2009,ER42455
FAM2009ER_full.csv,2009,ER42456
FAM2009ER_full.csv,2009,ER42457
FAM2009ER_full.csv,2009,ER42458
FAM2009ER_full.csv,2009,ER42459
FAM2009ER_full.csv,2009,ER42460
FAM2009ER_full.csv,2009,ER42461
FAM2009ER_full.csv,2009,ER42462
FAM2009ER_full.csv,2009,ER42463
FAM2009ER_full.csv,2009,ER42464
FAM2009ER_full.csv,2009,ER42465
FAM2009ER_full.csv,2009,ER42466
FAM2009ER_full.csv,2009,ER42467
FAM2009ER_full.csv,2009,ER42468
FAM2009ER_full.csv,2009,ER42469
FAM2009ER_full.csv,2009,ER42470
FAM2009ER_full.csv,2009,ER42471
FAM2009ER_full.csv,2009,ER42472
FAM2009ER_full.csv,2009,ER42473
FAM2009ER_full.csv,2009,ER42474
FAM2009ER_full.csv,2009,ER42475
FAM2009ER_full.csv,2009,ER42476
FAM2009ER_full.csv,2009,ER42477
FAM2009ER_full.csv,2009,ER42478
FAM2009ER_full.csv,2009,ER42479
FAM2009ER_full.csv,2009,ER42480
FAM2009ER_full.csv,2009,ER42481
FAM2009ER_full.csv,2009,ER42482
FAM2009ER_full.csv,2009,ER42483
FAM2009ER_full.csv,2009,ER42484
FAM2009ER_full.csv,2009,ER42485
FAM2009ER_full.csv,2009,ER42486
FAM2009ER_full.csv,2009,ER42487
FAM2009ER_full.csv,2009,ER42488
FAM2009ER_full.csv,2009,ER42489
FAM2009ER_full.csv,2009,ER42490
FAM2009ER_full.csv,2009,ER42491
FAM2009ER_full.csv,2009,ER42492
FAM2009ER_full.csv,2009,ER42493
FAM2009ER_full.csv,2009,ER42494
FAM2009ER_full.csv,2009,ER42495
FAM2009ER_full.csv,2009,ER42496
